Ticker,Corr_ticker,corr_valor,Sector
COST,EBAY,0.6848044673496748,Supermercados
COST,F,0.8434618417811444,Supermercados
COST,GM,0.5653882209529112,Supermercados
COST,GS,0.8037176722691013,Supermercados
COST,JNJ,0.8647394900845632,Supermercados
COST,JPM,0.651983046372034,Supermercados
COST,KR,0.9199242486748657,Supermercados
COST,MRK,0.5475295525857404,Supermercados
COST,MSFT,0.9252867074333577,Supermercados
COST,PFE,0.9138244930175347,Supermercados
COST,T,-0.4810975497912061,Supermercados
COST,TMUS,0.6638955525352441,Supermercados
COST,VZ,-0.08046410153901318,Supermercados
COST,WMT,0.7852769326478026,Supermercados
COST,XOM,0.5536727145346461,Supermercados
COST,ZM,0.1042750324934637,Supermercados
CSCO,AMZN,0.41899758943895016,Tecnologia de Comunicacion
CSCO,BABA,-0.5919520657823731,Tecnologia de Comunicacion
CSCO,BAC,0.8470201269681199,Tecnologia de Comunicacion
CSCO,BP,0.40754258416775496,Tecnologia de Comunicacion
CSCO,CAT,0.6413579913381472,Tecnologia de Comunicacion
CSCO,COST,0.6628052337008373,Tecnologia de Comunicacion
CSCO,CVX,0.5307738902269978,Tecnologia de Comunicacion
CSCO,EBAY,0.6573254462247249,Tecnologia de Comunicacion
CSCO,F,0.851664557090003,Tecnologia de Comunicacion
CSCO,GM,0.7340759297820152,Tecnologia de Comunicacion
CSCO,GS,0.815311952891813,Tecnologia de Comunicacion
CSCO,JNJ,0.6030454669207513,Tecnologia de Comunicacion
CSCO,JPM,0.7761376237496606,Tecnologia de Comunicacion
CSCO,KR,0.5189584210999677,Tecnologia de Comunicacion
CSCO,MRK,0.26988373766071566,Tecnologia de Comunicacion
CSCO,MSFT,0.6800740726465109,Tecnologia de Comunicacion
CSCO,PFE,0.741849002314411,Tecnologia de Comunicacion
CSCO,T,-0.2343838804856535,Tecnologia de Comunicacion
CSCO,TMUS,0.3836885679823554,Tecnologia de Comunicacion
CSCO,VZ,-0.1291330583073756,Tecnologia de Comunicacion
CSCO,WMT,0.41800863302038366,Tecnologia de Comunicacion
CSCO,XOM,0.5793289632939951,Tecnologia de Comunicacion
CSCO,ZM,-0.09247779578727316,Tecnologia de Comunicacion
CVX,AMZN,-0.061768170473069546,Energia
CVX,BABA,-0.827454949082683,Energia
CVX,BAC,0.5788746893343373,Energia
CVX,BP,0.6526057841929241,Energia
CVX,CAT,0.5020293386839663,Energia
CVX,COST,0.6301447608452617,Energia
CVX,CSCO,0.5307738902269978,Energia
CVX,EBAY,0.10936129273266254,Energia
CVX,F,0.6264718648503455,Energia
CVX,GM,0.2647825003992461,Energia
CVX,GS,0.4661453627509748,Energia
CVX,JNJ,0.5783632282875562,Energia
CVX,JPM,0.39408254472265586,Energia
CVX,KR,0.6659157774779367,Energia
CVX,MRK,0.7502975867249838,Energia
CVX,MSFT,0.4226832334568217,Energia
CVX,PFE,0.7481456589804873,Energia
CVX,T,0.0010342501319375338,Energia
CVX,TMUS,0.21444249625459133,Energia
CVX,VZ,-0.27810754780439545,Energia
CVX,WMT,0.1954201490077739,Energia
CVX,XOM,0.970139094541556,Energia
CVX,ZM,-0.4968992744993612,Energia
EBAY,AMZN,0.9030959033806076,E-commerce
EBAY,BABA,-0.05704424072324745,E-commerce
EBAY,BAC,0.6994117725691649,E-commerce
EBAY,BP,-0.2829061241155568,E-commerce
EBAY,CAT,0.7640432262273801,E-commerce
EBAY,COST,0.6848044673496748,E-commerce
EBAY,CSCO,0.6573254462247249,E-commerce
EBAY,CVX,0.10936129273266254,E-commerce
EBAY,F,0.6707947878224584,E-commerce
EBAY,GM,0.7656790298710238,E-commerce
EBAY,GS,0.849623841508682,E-commerce
EBAY,JNJ,0.7177513096956356,E-commerce
EBAY,JPM,0.7331553619980489,E-commerce
EBAY,KR,0.5913558420980923,E-commerce
EBAY,MRK,0.10704000640324604,E-commerce
EBAY,MSFT,0.8738284001956382,E-commerce
EBAY,PFE,0.5415910025907223,E-commerce
EBAY,T,-0.4719780347226443,E-commerce
EBAY,TMUS,0.7892137453961335,E-commerce
EBAY,VZ,0.1492964282521762,E-commerce
EBAY,WMT,0.7918128036007064,E-commerce
EBAY,XOM,0.10267401856927379,E-commerce
EBAY,ZM,0.582558181086398,E-commerce
F,AMZN,0.49943033622603916,Manufactura
F,BABA,-0.5938519166216336,Manufactura
F,BAC,0.929478251712522,Manufactura
F,BP,0.31615313759872987,Manufactura
F,CAT,0.7859340153351805,Manufactura
F,COST,0.8434618417811444,Manufactura
F,CSCO,0.851664557090003,Manufactura
F,CVX,0.6264718648503455,Manufactura
F,EBAY,0.6707947878224584,Manufactura
F,GM,0.8078533542608076,Manufactura
F,GS,0.8755765983038923,Manufactura
F,JNJ,0.7261452304455738,Manufactura
F,JPM,0.8353286021557129,Manufactura
F,KR,0.6891674711398312,Manufactura
F,MRK,0.4346119674590065,Manufactura
F,MSFT,0.8232749965852652,Manufactura
F,PFE,0.8596712310350793,Manufactura
F,T,-0.2969853476181748,Manufactura
F,TMUS,0.49332690301091064,Manufactura
F,VZ,-0.0875630336392099,Manufactura
F,WMT,0.5737895718889051,Manufactura
F,XOM,0.6409088206157452,Manufactura
F,ZM,-0.0020819511918502716,Manufactura
GM,AMZN,0.6300994237506999,Manufactura
GM,BABA,-0.17181107413910512,Manufactura
GM,BAC,0.8497810659014968,Manufactura
GM,BP,0.10546550023511893,Manufactura
GM,CAT,0.8291686426166098,Manufactura
GM,COST,0.5653882209529112,Manufactura
GM,CSCO,0.7340759297820152,Manufactura
GM,CVX,0.2647825003992461,Manufactura
GM,EBAY,0.7656790298710238,Manufactura
GM,F,0.8078533542608076,Manufactura
GM,GS,0.8780335634980049,Manufactura
GM,JNJ,0.6021554027043704,Manufactura
GM,JPM,0.9215681371743621,Manufactura
GM,KR,0.3919459344382283,Manufactura
GM,MRK,0.10136005789411753,Manufactura
GM,MSFT,0.6984845046339108,Manufactura
GM,PFE,0.5195826217924225,Manufactura
GM,T,-0.1294686976768821,Manufactura
GM,TMUS,0.6145959947107534,Manufactura
GM,VZ,0.20700226680082975,Manufactura
